Beras,Cabai Merah,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Bawang Merah,Bawang Putih,Tanggal Lengkap
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,34500.0,28500.0,2021-05-12
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,34500.0,28500.0,2021-05-13
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,35000.0,28500.0,2021-05-14
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,35000.0,28500.0,2021-05-17
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,35000.0,28500.0,2021-05-18
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,35000.0,28500.0,2021-05-19
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,37500.0,29500.0,2021-05-20
11750.0,45650.0,42500.0,54400.0,48750.0,60000.0,37500.0,29500.0,2021-05-21
11750.0,45650.0,42500.0,51900.0,46250.0,57500.0,37000.0,29500.0,2021-05-24
11750.0,43150.0,42500.0,41900.0,36250.0,47500.0,37000.0,28000.0,2021-05-25
11750.0,43150.0,42500.0,41900.0,36250.0,47500.0,37000.0,28000.0,2021-05-26
11750.0,43150.0,42500.0,41900.0,36250.0,47500.0,37000.0,28000.0,2021-05-27
11750.0,38750.0,37500.0,40650.0,36250.0,45000.0,37000.0,28000.0,2021-05-28
11750.0,36250.0,32500.0,40650.0,36250.0,45000.0,34500.0,28000.0,2021-05-31
11750.0,36250.0,32500.0,40650.0,36250.0,45000.0,34500.0,28000.0,2021-06-01
11750.0,36250.0,32500.0,39400.0,36250.0,42500.0,34500.0,28000.0,2021-06-02
11750.0,36250.0,32500.0,39400.0,36250.0,42500.0,34500.0,28000.0,2021-06-03
11750.0,36250.0,32500.0,39400.0,36250.0,42500.0,34500.0,28000.0,2021-06-04
11750.0,36250.0,32500.0,39400.0,36250.0,42500.0,34500.0,28000.0,2021-06-07
11750.0,36250.0,32500.0,39400.0,36250.0,42500.0,34500.0,28000.0,2021-06-08
11750.0,34400.0,31250.0,37500.0,33750.0,41250.0,34500.0,28000.0,2021-06-09
11750.0,34400.0,31250.0,37500.0,33750.0,41250.0,34500.0,28000.0,2021-06-10
11750.0,34400.0,31250.0,37500.0,33750.0,41250.0,34500.0,28000.0,2021-06-11
11750.0,34400.0,31250.0,37500.0,33750.0,41250.0,33750.0,28000.0,2021-06-14
11750.0,34400.0,31250.0,37500.0,33750.0,41250.0,33750.0,28000.0,2021-06-15
11750.0,30650.0,28750.0,35000.0,33750.0,36250.0,33750.0,28000.0,2021-06-16
11750.0,30650.0,28750.0,35000.0,33750.0,36250.0,33750.0,28000.0,2021-06-17
11750.0,30650.0,28750.0,35000.0,33750.0,36250.0,33750.0,28000.0,2021-06-18
11750.0,30650.0,28750.0,35000.0,33750.0,36250.0,33750.0,28000.0,2021-06-21
11750.0,30650.0,28750.0,34400.0,33750.0,35000.0,33750.0,28000.0,2021-06-22
11750.0,30650.0,28750.0,34400.0,33750.0,35000.0,33750.0,28000.0,2021-06-23
11750.0,30650.0,28750.0,34400.0,33750.0,35000.0,33750.0,28000.0,2021-06-24
11750.0,31900.0,28750.0,35650.0,33750.0,37500.0,33750.0,28000.0,2021-06-25
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-06-28
11750.0,33150.0,28750.0,38150.0,33750.0,42500.0,33750.0,28000.0,2021-06-29
